,Year,Number_of_Films
0,1894.0,1
1,1896.0,1
2,1897.0,2
3,1898.0,7
4,1899.0,8
5,1900.0,6
6,1901.0,7
7,1902.0,4
8,1903.0,4
9,1904.0,2
10,1905.0,19
11,1906.0,23
12,1907.0,17
13,1908.0,22
14,1909.0,87
15,1910.0,103
16,1911.0,166
17,1912.0,343
18,1913.0,671
19,1914.0,1152
20,1915.0,1632
21,1916.0,2108
22,1917.0,2191
23,1918.0,2243
24,1919.0,2474
25,1920.0,2655
26,1921.0,2619
27,1922.0,2192
28,1923.0,1932
29,1924.0,1954
30,1925.0,2125
31,1926.0,2103
32,1927.0,2222
33,1928.0,2192
34,1929.0,2140
35,1930.0,2045
36,1931.0,2143
37,1932.0,2123
38,1933.0,2033
39,1934.0,1946
40,1935.0,1976
41,1936.0,2246
42,1937.0,2136
43,1938.0,1986
44,1939.0,1894
45,1940.0,1768
46,1941.0,1540
47,1942.0,1465
48,1943.0,1329
49,1944.0,1169
50,1945.0,1129
51,1946.0,1311
52,1947.0,1518
53,1948.0,1650
54,1949.0,1793
55,1950.0,2003
56,1951.0,1960
57,1952.0,2143
58,1953.0,2225
59,1954.0,2296
60,1955.0,2388
61,1956.0,2596
62,1957.0,2598
63,1958.0,2571
64,1959.0,2600
65,1960.0,2721
66,1961.0,2767
67,1962.0,2727
68,1963.0,2681
69,1964.0,2897
70,1965.0,3212
71,1966.0,3217
72,1967.0,3298
73,1968.0,3708
74,1969.0,3832
75,1970.0,4109
76,1971.0,4130
77,1972.0,4042
78,1973.0,3951
79,1974.0,3797
80,1975.0,4057
81,1976.0,3950
82,1977.0,3864
83,1978.0,4008
84,1979.0,4137
85,1980.0,4100
86,1981.0,4104
87,1982.0,4090
88,1983.0,4243
89,1984.0,4421
90,1985.0,4509
91,1986.0,4456
92,1987.0,4501
93,1988.0,4604
94,1989.0,4610
95,1990.0,4884
96,1991.0,4441
97,1992.0,4369
98,1993.0,4195
99,1994.0,4158
100,1995.0,4373
101,1996.0,4364
102,1997.0,4674
103,1998.0,4815
104,1999.0,5002
105,2000.0,5217
106,2001.0,5577
107,2002.0,5804
108,2003.0,6062
109,2004.0,6624
110,2005.0,7635
111,2006.0,8193
112,2007.0,8889
113,2008.0,10397
114,2009.0,11875
115,2010.0,12710
116,2011.0,13669
117,2012.0,14696
118,2013.0,15366
119,2014.0,16538
120,2015.0,17164
121,2016.0,18400
122,2017.0,18843
123,2018.0,19014
124,2019.0,18858
125,2020.0,16210
126,2021.0,18437
127,2022.0,19841
128,2023.0,17689
